Website,LengthOfVisit,PlaceCategory,Fee,PlaceURL,Description,Ranking,PlaceTitle,TotalReviews,Longitude,AddressLocality,AddressRegion,StreetAddress,PhoneNumber,PostCode,Latitude,OpeningHours,Email,AverageRating
,,"Art Galleries, Museums, Shopping",,https://www.tripadvisor.com/Attraction_Review-g54171-d7804891-Reviews-Charleston_Artist_Guild-Charleston_South_Carolina.html,,#148 of 201 things to do in Charleston,Charleston Artist Guild,2 ,,Charleston,SC,160 East Bay Street,843.722.2425,29401,,,,0
,,"Hiking Trails, Nature & Parks, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g54171-d3459122-Reviews-West_Ashley_Greenway-Charleston_South_Carolina.html,,#150 of 201 things to do in Charleston,West Ashley Greenway,5 ,,Charleston,SC,,843-724-7321,29403,,,,2
,,,,https://www.tripadvisor.com/Attractions-g33364-Activities-c61-t263-Colorado_Springs_El_Paso_County_Colorado.html,,,Other Outdoor Activities in Colorado Springs,,,,,,,,,,,
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g33364-d288151-Reviews-Taylor_Museum-Colorado_Springs_El_Paso_County_Colorado.html,,#128 of 128 things to do in Colorado Springs,Taylor Museum,,,Colorado Springs,CO,30 W. Dale St,+1 719-634-5583,80903,,"Tue - Sun 10:00 am - 5:00 pm , ",,
,,"Duty-Free Shops, Shopping",,https://www.tripadvisor.com/Attraction_Review-g33364-d10314228-Reviews-The_Springs_Marketplace-Colorado_Springs_El_Paso_County_Colorado.html,,#125 of 128 things to do in Colorado Springs,The Springs Marketplace,,,Colorado Springs,CO,7770 Milton E. Proby Parkway,,80916,,,,
,,"Duty-Free Shops, Shopping",,https://www.tripadvisor.com/Attraction_Review-g33364-d10314244-Reviews-The_Peaks_Travelmart-Colorado_Springs_El_Paso_County_Colorado.html,,#123 of 128 things to do in Colorado Springs,The Peaks Travelmart,,,Colorado Springs,CO,7770 Milton E. Proby Parkway,,80916,,,,
,,"Sports Complexes, Fun & Games",,https://www.tripadvisor.com/Attraction_Review-g48503-d3971750-Reviews-Red_Barn_Climbing_Gym-Rochester_Finger_Lakes_New_York.html,,#88 of 123 things to do in Rochester,Red Barn Climbing Gym,1 ,,Rochester,NY,100 Kimball Drive,585-292-6571,,,"Sun 1:00 pm - 6:00 pm , Sat 1:00 pm - 10:00 pm , Mon - Fri 5:00 pm - 10:00 pm , ",bbewell@rit.edu,0
,,,,https://www.tripadvisor.com/Attractions-g54171-Activities-c61-t186-Charleston_South_Carolina.html,,,Gear Rentals in Charleston,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g54171-Activities-c20-t104-Charleston_South_Carolina.html,,,Jazz Clubs & Bars in Charleston,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g54171-Activities-c42-t230-Charleston_South_Carolina.html,,,"Literary, Art & Music Tours in Charleston",,,,,,,,,,,
,,"Airport Lounges, Traveler Resources",,https://www.tripadvisor.com/Attraction_Review-g33364-d10314236-Reviews-Mortgage_Solutions_Premier_Lounge-Colorado_Springs_El_Paso_County_Colorado.html,,#124 of 128 things to do in Colorado Springs,Mortgage Solutions Premier Lounge,,,Colorado Springs,CO,7770 Milton E. Proby Parkway,,80916,,,,
,,"Art Galleries, Shopping, Museums",,https://www.tripadvisor.com/Attraction_Review-g54171-d1224953-Reviews-Dog_Horse_Fine_Art_Portraiture_and_Sculpture_Garden-Charleston_South_Carolina.html,"Dog & Horse, Fine Art and Portraiture represent artists nationally and internationally recognized as leading talent in both canine and equine art. Along with an extensive inventory, Dog & Horse also works as a matchmaker for portraits by only the best quality artists - painters and sculptors.",#175 of 201 things to do in Charleston,Dog & Horse Fine Art & Portraiture and Sculpture Garden,1 ,,Charleston,SC,106 Church Street,843-577-5500,29401,,"Sat 11:00 am - 5:00 pm , Mon - Fri 10:00 am - 5:00 pm , ",dogpainting@bellsouth.net,0
,,"Art Galleries, Shopping, Museums",,https://www.tripadvisor.com/Attraction_Review-g54171-d214293-Reviews-Raymond_Clark_Gallery-Charleston_South_Carolina.html,,#200 of 201 things to do in Charleston,Raymond Clark Gallery,,,Charleston,SC,429 King Street,843-723-7555,,,,,
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g54171-d560087-Reviews-College_of_Charleston_Jewish_Heritage_Collection-Charleston_South_Carolina.html,,#199 of 201 things to do in Charleston,College of Charleston - Jewish Heritage Collection,,,Charleston,SC,66 George St,843-805-5507,29424,,,rosengartend@cofc.edu,
,,"Nature & Parks, Zoos & Aquariums",,https://www.tripadvisor.com/Attraction_Review-g54171-d102528-Reviews-Blackwater_Swamp_Exhibit-Charleston_South_Carolina.html,The exhibits at the aquarium have been put together with painstaking attention to detail.,#201 of 201 things to do in Charleston,Blackwater Swamp Exhibit,,,Charleston,SC,,843-720-1990,,,,,
,,"Theaters, Concerts & Shows",,https://www.tripadvisor.com/Attraction_Review-g54171-d3529643-Reviews-Charleston_Jazz_House-Charleston_South_Carolina.html,,#198 of 201 things to do in Charleston,Charleston Jazz House,,,Charleston,SC,185 Saint Phillip Street,843 641 0011,29403 ,,,jac@jazzartistsofcharleston.org,
,,"Churches & Cathedrals, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g54171-d4097461-Reviews-Trinity_United_Methodist_Church-Charleston_South_Carolina.html,,#197 of 201 things to do in Charleston,Trinity United Methodist Church,,,Charleston,SC,273 Meeting Street,(843) 722-8449,,,"Sun 11:15 pm - 12:00 am , Mon 12:00 am - 12:15 pm , Tue - Fri 8:00 am - 12:00 pm , ",,
,,"Theaters, Concerts & Shows",,https://www.tripadvisor.com/Attraction_Review-g48503-d3845399-Reviews-Howard_Stowe_Roberts_Cultural_Life_Center-Rochester_Finger_Lakes_New_York.html,,#123 of 123 things to do in Rochester,Howard Stowe Roberts Cultural Life Center,,,Rochester,NY,2301 Westside Drive,585 594 6008,14624,,,BoxOffice@roberts.edu,
,,"Farms, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g46341-d626134-Reviews-Bay_Springs_Farm_Alpacas-Cape_May_Cape_May_County_New_Jersey.html,"Bay Springs Farm is a preserved working farm situated on what was the last Dairy Farm in Cape May County. Today it is the site of the largest alpaca farm in the County with more than 26 alpacas in a wide range of colors. We specialize in breeding black and gray and colored huacaya alpacas. All our alpacas sell with full guarantees and service support, plus free boarding for 6 months..,We carry all types of alpaca yarn, fleece and finished products--sweaters, throws, socks and scarves--in our farm store. We are open to the public every Sat. & Sun. from 10-4 or at other times by appointment. ",#27 of 55 things to do in Cape May,Bay Springs Farm Alpacas,32 ,,Cape May,NJ,542 New England Rd,609-884-0563,08204,,,bnuessle@aol.com,2
,,"Beaches, Nature & Parks, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g46341-d4427470-Reviews-Cape_May_City_Beaches-Cape_May_Cape_May_County_New_Jersey.html,,#1 of 55 things to do in Cape May,Cape May City Beaches,"1,114 ",,Cape May,NJ,Beach Ave.,,08204,,,,52
,,"Points of Interest & Landmarks, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g32588-d7274339-Reviews-Drizzle_Art_Studios-Laguna_Beach_California.html,,#30 of 61 things to do in Laguna Beach,Drizzle Art Studios,9 ,,Laguna Beach,CA,550 S Coast Hwy,714.343.3043,,,,,0
,,,,https://www.tripadvisor.com/Attractions-g60647-Activities-c61-t191-Haleiwa_Oahu_Hawaii.html,,,Kayaking & Canoeing in Haleiwa,,,,,,,,,,,
,,"Other Food & Drink, Food & Drink",,https://www.tripadvisor.com/Attraction_Review-g33026-d7336441-Reviews-Fromagerie_Sophie-San_Luis_Obispo_San_Luis_Obispo_County_California.html,,#28 of 71 things to do in San Luis Obispo,Fromagerie Sophie,13 ,,San Luis Obispo,CA,1129-B Garden St.,8055030805,93402,,,,1
,,"Hiking Trails, Nature & Parks, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g33026-d2149479-Reviews-Reservoir_Canyon_Trail-San_Luis_Obispo_San_Luis_Obispo_County_California.html,,#29 of 71 things to do in San Luis Obispo,Reservoir Canyon Trail,19 ,,San Luis Obispo,CA,Reservoir Canyon Road,,,,,,2
,,"Libraries, Traveler Resources",,https://www.tripadvisor.com/Attraction_Review-g33026-d6594428-Reviews-San_Luis_Obispo_County_Library-San_Luis_Obispo_San_Luis_Obispo_County_California.html,,#30 of 71 things to do in San Luis Obispo,San Luis Obispo County Library,15 ,,San Luis Obispo,CA,995 Palm St,(805) 781-5991,93401 ,,"Wed - Sat 10:00 am - 5:00 pm , Tue 10:00 am - 8:00 pm , ",,0
,,Nature & Parks,,https://www.tripadvisor.com/Attraction_Review-g33026-d279178-Reviews-El_Chorro_Regional_Park-San_Luis_Obispo_San_Luis_Obispo_County_California.html,"Located right outside downtown San Luis Obispo, this park features the Dairy Creek Golf Course and a variety of outdoor attractions and facilities including barbecue areas, softball fields, botanical gardens and various hiking trails.",#27 of 71 things to do in San Luis Obispo,El Chorro Regional Park,31 ,,San Luis Obispo,CA,2990 Dairy Creek Rd,805-788-2381,93401,,,,5
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g33026-d4288288-Reviews-Museum_of_Art-San_Luis_Obispo_San_Luis_Obispo_County_California.html,,#26 of 71 things to do in San Luis Obispo,Museum of Art,25 ,,San Luis Obispo,CA,1010 Broad Street,,,,"Wed - Mon 11:00 am - 5:00 pm , ",,5
,,"Historic Sites, Gardens, Sights & Landmarks, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g33026-d1948018-Reviews-Dallidet_Adobe_and_Gardens-San_Luis_Obispo_San_Luis_Obispo_County_California.html,,#23 of 71 things to do in San Luis Obispo,Dallidet Adobe and Gardens,25 ,,San Luis Obispo,CA,1185 Pacific Street,805-543-0638,93401,,,rryen@historycenterslo.org,2
,,"Wineries & Vineyards, Food & Drink",,https://www.tripadvisor.com/Attraction_Review-g33026-d531933-Reviews-Claiborne_Churchill_Winery-San_Luis_Obispo_San_Luis_Obispo_County_California.html,,#22 of 71 things to do in San Luis Obispo,Claiborne & Churchill Winery,39 ,,San Luis Obispo,CA,2649 Carpenter Canyon Road,805 544 4066,93401,,"Sun - Sat 11:00 am - 5:00 pm , ",info@claibornechurchill.com,4
,,"Farms, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g33026-d2352536-Reviews-Gopher_Glen_Farms-San_Luis_Obispo_San_Luis_Obispo_County_California.html,,#25 of 71 things to do in San Luis Obispo,Gopher Glen Farms,21 ,,San Luis Obispo,CA,2899 Gopher Glen Way,(805) 595-2646,93405,,"Sun 10:00 am - 5:00 pm , Mon - Sat 9:00 am - 5:00 pm , ",,0
,,,,https://www.tripadvisor.com/Attractions-g60647-Activities-c42-t269-Haleiwa_Oahu_Hawaii.html,,,Photography Tours in Haleiwa,,,,,,,,,,,
,,"Art Galleries, Museums, Shopping",,https://www.tripadvisor.com/Attraction_Review-g32588-d7697752-Reviews-Simard_Bilodeau_Galerie-Laguna_Beach_California.html,"Galerie Simard Bilodeau, a prestigious North American contemporary Fine Art gallery located in Laguna Beach, California, features an unparalleled collection of sculpture, sculptural installations, and unique paintings by exceptional artists. Their artists are internationally renown, masters of their trade, and have placements in prestigious collections and museums around the world.",#59 of 61 things to do in Laguna Beach,Simard Bilodeau Galerie,,,Laguna Beach,CA,1945 Laguna Canyon Rd,+1 949-376-7611,92651,,,,
,,,,https://www.tripadvisor.com/Attractions-g57201-Activities-c56-t97-Burlington_Vermont.html,,,Movie Theaters in Burlington,,,,,,,,,,,
,,"Points of Interest & Landmarks, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g32588-d7182231-Reviews-Studio_7_Gallery-Laguna_Beach_California.html,"Studio 7 Gallery has been an established Laguna Beach Gallery for the past twenty years. We feature local landscapes, seascapes, and figures painted in oils on location ""en plein aire"".,                    ",#60 of 61 things to do in Laguna Beach,Studio 7 Gallery,,,Laguna Beach,CA,384 N Coast Hwy Suite B,+(1)(949) 497-1080,92651,,"Sun - Sat 11:00 am - 5:00 pm , ",john.eagle123@yahoo.com,
,,"Gardens, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g33026-d280278-Reviews-San_Luis_Obispo_Botanical_Garden-San_Luis_Obispo_San_Luis_Obispo_County_California.html,"Learn about plants and ecosystems of five Mediterranean climate zones, from California and Chile to Australia and South Africa.",#24 of 71 things to do in San Luis Obispo,San Luis Obispo Botanical Garden,41 ,,San Luis Obispo,CA,3450 Dairy Creek Road,805-546-3501,93403,,"Sun - Sat 9:00 am - 7:30 pm , ",,6
,,,,https://www.tripadvisor.com/Attractions-g33026-Activities-c61-t62-San_Luis_Obispo_San_Luis_Obispo_County_California.html,,,Horseback Riding Tours in San Luis Obispo,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g33026-Activities-c61-t60-San_Luis_Obispo_San_Luis_Obispo_County_California.html,,,Golf Courses in San Luis Obispo,,,,,,,,,,,
,,"Wineries & Vineyards, Food & Drink",,https://www.tripadvisor.com/Attraction_Review-g33026-d8631898-Reviews-Biddle_Ranch_Vineyard-San_Luis_Obispo_San_Luis_Obispo_County_California.html,,#57 of 71 things to do in San Luis Obispo,Biddle Ranch Vineyard,1 ,,San Luis Obispo,CA,6985 Ontario Rd,805- 543-2399,93405,,,,0
,,"Other Food & Drink, Food & Drink",,https://www.tripadvisor.com/Attraction_Review-g33026-d4706262-Reviews-Autry_Cellars-San_Luis_Obispo_San_Luis_Obispo_County_California.html,,#54 of 71 things to do in San Luis Obispo,Autry Cellars,4 ,,San Luis Obispo,CA,5450 Edna Road,805-546-8669,93401,,,steveautry@autrycellars.com,1
,,,,https://www.tripadvisor.com/Attractions-g33026-Activities-c20-t240-San_Luis_Obispo_San_Luis_Obispo_County_California.html,,,"Bar, Club & Pub Tours in San Luis Obispo",,,,,,,,,,,
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g32588-d561806-Reviews-Museum_of_the_First_People-Laguna_Beach_California.html,,#61 of 61 things to do in Laguna Beach,Museum of the First People,,,Laguna Beach,CA,305 North Coast Highway,+1 949 497 5747,92651,,,,
,,"Wineries & Vineyards, Food & Drink",,https://www.tripadvisor.com/Attraction_Review-g33026-d850245-Reviews-Monterey_Street_Wine_Co-San_Luis_Obispo_San_Luis_Obispo_County_California.html,,#53 of 71 things to do in San Luis Obispo,Monterey Street Wine Co.,6 ,,San Luis Obispo,CA,1255 Monterey St,+1 805-541-1255,93401,,,,0
,,,,https://www.tripadvisor.com/Attractions-g33026-Activities-c56-t97-San_Luis_Obispo_San_Luis_Obispo_County_California.html,,,Movie Theaters in San Luis Obispo,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g33026-Activities-c40-t127-San_Luis_Obispo_San_Luis_Obispo_County_California.html,,,Spas in San Luis Obispo,,,,,,,,,,,
,,"Wineries & Vineyards, Food & Drink",,https://www.tripadvisor.com/Attraction_Review-g33026-d3611745-Reviews-Salisbury_Vineyards-San_Luis_Obispo_San_Luis_Obispo_County_California.html,,#50 of 71 things to do in San Luis Obispo,Salisbury Vineyards,2 ,,San Luis Obispo,CA,6985 Ontario Road,(805) 595-9463,93405 ,,"Sun - Sat 11:00 am - 6:00 pm , ",,0
,,Nature & Parks,,https://www.tripadvisor.com/Attraction_Review-g33026-d7383162-Reviews-Cheng_Park-San_Luis_Obispo_San_Luis_Obispo_County_California.html,,#49 of 71 things to do in San Luis Obispo,Cheng Park,2 ,,San Luis Obispo,CA,990 Palm Street,(805) 781-7300,93401,,,,0
,,,,https://www.tripadvisor.com/Attractions-g33026-Activities-c56-t110-San_Luis_Obispo_San_Luis_Obispo_County_California.html,,,Game & Entertainment Centers in San Luis Obispo,,,,,,,,,,,
